어선번호,어선명,선적항,위도,경도,지점명,지점번호,기준항
95055516482207,제202명성,경남 통영시 사량면,34.83009,128.21199,통영,22188,
97050056483105,반야호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
9060116469108,302금영호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
97124386482206,대성호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
17010056482200,부성호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
7110196482204,수덕호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
11120116482201,명성호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
9060176482203,제301금영호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
9090066482200,한성호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
96100166488206,흥성호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
9070166469101,선진호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
10060066482203,성진호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
96100046482206,제2삼광호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
95120806483103,건영1호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
95040186483106,수진2호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
2010046483103,일성,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
19050026483102,수영호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
8080076483104,영진호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
1020026483105,제2오양호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
96040096491301,제4덕성호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
3030086483103,명선호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
15070066483102,혜성호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
99080056467703,영원호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
5010016483100,삼성호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
9050036488509,만선호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
4110046483108,학송호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
11060016483107,덕양호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
99100056482209,금성호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
11080066483108,미조라호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
5070016481600,피싱스토리,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
3120206483108,수진호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
12010106482203,수정호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
21080026483101,다해운호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
3040096482209,영진호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
8100056482200,해신호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
3120216481609,구조라호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
19020026482207,제1방주호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
97100156483102,동양호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
5110076483103,세창호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
5010016483100,제1삼성호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
4040166482208,경성호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
98060046483102,청명호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
20030026483103,삼창호,경남 거제시 일운면,34.8213979,128.6942233,거제도,22104,
